year,movieid,adj,noun
2015,306952,same,guy
2017,339404,same,guy
2010,26389,same,guy
1978,40132,same,man
1987,19345,same,man
1987,20242,same,man
2012,79548,same,man
2012,54054,same,man
2002,9685,sarcastic,boy
1988,380,savant,brother
2020,635302,scared,boy
2006,9022,scary,man
2002,9685,schizophrenic,father
1972,30892,schizophrenic,son
1998,19381,school,boys
1994,6280,scientist,male
2015,223485,scottish,boy
1972,12116,second,child
1974,28153,second,child
1975,47239,second,child
1970,74071,second,husband
1985,42018,second,son
1986,42018,second,son
2020,640923,second,son
2005,15648,second-rate,guy
2008,14400,secret,son
1995,48781,seductive,man
1971,27459,self-assured,man
2016,340677,self-made,man
2015,277558,senior,boy
1984,91767,sensitive,son
1977,37258,seventeen-year-old,boy
2014,68737,seventh,son
2014,68737,seventh,son
2002,33251,seven-year-old,boy
2010,49009,several,men
2005,6957,sex-obsessed,male
1984,50215,sexy,man
2000,1619,shady,man
2001,9889,shallow,man
1977,26932,ship-wrecked,man
1991,47620,shoots,boy
1971,11945,short-tempered,father
2006,9310,showtunes-loving,man
2000,17908,shy,boy
1982,47245,shy,guy
1995,12665,shy,man
1978,18735,sick,brother
1974,5558,sick,father
1989,51108,sick,husband
1997,2898,sick,son
2011,1771,sickly,man
1974,127091,simple,man
1990,41930,simple,man
1992,10163,simple,man
1992,39883,simple,man
1993,39883,simple,man
2005,49367,simple,man
1974,234426,sincere,man
1983,10269,single,father
1994,8986,single,father
2005,9947,single,father
2013,156700,single,father
2020,716258,single,father
1974,32044,single,guy
2001,10646,single,guy
2006,19955,single,guy
1998,10029,single,man
2011,49520,single,man
2017,400928,single,man
1985,59388,sixteen,men
2012,121875,sixteen-year-old,boy
2020,442065,sixty,men
2020,588009,six-year-old,boy
1989,60014,six-year-old,son
2017,346671,six-year-old,son
1998,56195,skateboarding,son
1971,29069,sleepy-eyed,guy
2005,16608,slow,brother
1996,13997,slow-witted,brother
2004,12086,slum-raised,son
1974,37627,small,boy
1997,9311,small,boy
1997,27103,small,boy
2021,785534,small,boy
1973,96049,small,child
1978,49695,small,child
1979,49695,small,child
2000,8871,small,child
2018,491418,small,child
1998,20546,small,son
1983,21500,small-town,boy
2009,17336,small-town,boy
1993,1587,small-town,man
2007,5126,socially-rejected,boy
1977,46853,solitary,boy
2015,279690,solitary,man
2019,491283,soon-to-be,husband
2006,13205,spirited,son
1997,17139,spiteful,father
1976,56648,spoiled,boy
1977,37258,stable,boy
2000,10473,stable,boy
2019,543540,stand-in,boyfriend
2019,512263,star,child
1973,7857,stern,father
1996,33660,stern,father
1989,27461,stern,man
1986,33516,stillborn,child
2006,53486,stingy,man
2000,1831,straight,man
2014,262551,straight,man
2003,51163,strange,male
1977,103578,strange,man
1982,37935,strange,man
1987,46975,strange,man
1992,10206,strange,man
1999,25752,strange,man
1971,98050,strange,men
1993,20859,strict,father
2017,397422,stripper,male
1994,34152,stubborn,husband
2012,80035,suburban,guy
2016,390584,suburban,man
1997,20992,successful,brother
2010,34803,successful,brother
2017,488623,successful,brother
1991,1713,successful,man
2016,296096,successful,man
1987,28327,successful,men
1985,52212,suitable,husband
2004,24653,sullen,man
2018,511785,super,dude
2021,727293,supportive,father
1973,84847,surrogate,father
1973,32615,suspected,child
1985,31410,suspicious,man
1977,46853,sweet,child
1993,9261,taiwanese-american,man
2021,600583,teen,son
1985,10014,teenage,boy
1978,10580,teenage,boy
1997,37244,teen-age,son
1979,69567,teenaged,boy
1997,30020,tehranian,man
1982,69870,telepathic,man
1998,32911,ten-year-old,boy
1974,33801,third,child
1979,74037,third,son
1979,117483,thirtyish,man
2011,76025,thirty-something,man
1987,51521,thug,boyfriend
1984,11002,tiny,boy
1978,16214,top,men
1990,39062,tough,father
1972,11610,tough,guy
1973,78076,tough,guy
1985,23614,tough,guy
1992,619,tough,guy
2021,848278,trophy,male
2006,11798,troubled,boy
2011,64685,troubled,boy
2002,18602,troubled,boyfriend
1975,82135,troubled,husband
1976,12584,troubled,man
1990,20481,troubled,man
1991,10333,troubled,man
2001,14782,troubled,man
2021,763148,troubled,man
1991,177,troubled,men
1976,92298,troubled,son
2012,98548,troubled,son
1981,70927,troublesome,father
1978,15417,truck-driving,guy
2019,398978,trusted,man
1983,9346,trustworthy,son
2003,12,turtles,dude
2017,406994,twelve-year-old,boy
1979,37997,twenty-something,boy
1980,37997,twenty-something,boy
1973,3133,twenty-something,boyfriend
2000,1837,two-year-old,son
1982,25872,typical,boy
1997,38286,tyrannical,man
2006,1417,tyrannical,stepfather
1980,48961,ugly,man
1977,37258,unassuming,boy
1984,12309,unassuming,guy
1989,10160,unborn,child
1994,21029,unborn,child
2004,393,unborn,child
2007,7326,unborn,child
2018,429417,unborn,child
1984,218,unborn,son
2012,112198,unborn,son
2012,46429,unborn,son
1977,46853,unconfident,child
1976,31402,uneducated,male
1977,31402,uneducated,male
1995,12652,unemployed,husband
2001,56899,unemployed,man
1977,11689,unemployed,men
2000,21614,unemployed,men
2012,89899,unfaithful,male
1978,39555,unfeeling,man
1989,164020,unfortunate,men
1984,8221,ungrateful,husband
1999,41245,unhappy,man
2000,41245,unhappy,man
2014,152790,unhappy,man
1979,163060,unknowing,man
1991,16820,unknown,man
2011,45612,unknown,man
2012,89691,unknown,man
2021,523936,unknown,man
2010,20352,unlikable,guy
2002,20009,unlikely,dude
1980,48961,unlucky,man
2001,10646,unmarried,man
1976,42239,unnamed,man
1995,46725,unqualified,child
1998,42674,unreliable,brother
1998,56195,unruly,son
2014,251519,unruly,son
2006,13275,un-supportive,father
2014,97370,unsuspecting,men
1971,98050,unusual,men
2011,59968,upbeat,brother
1972,31591,upright,man
2000,16987,upright,man
2006,1247,upright,man
1987,4043,uptight,man
2002,33251,urban,boy
2006,13275,utterly,father
1975,42258,various,men
2000,22705,venetian,boyfriend
1998,8583,venetian,men
1980,119617,veterinarian,husband
1998,6435,vicious,boyfriend
1991,10750,vicious,son
1974,42453,victorian,gentleman
1979,41554,violent,man
2021,643532,vulnerable,man
1975,91873,waiter,male
1975,4762,wanted,man
1991,42001,warrior,boy
2010,10191,warrior,father
2013,47964,wayward,son
1986,21867,weak,son
1970,8416,weak-willed,man
2018,467938,wealthy,boyfriend
1990,25501,wealthy,child
1970,4266,wealthy,father
1982,16407,wealthy,father
1991,31696,wealthy,father
2012,134597,wealthy,father
2017,419835,wealthy,grandfather
1974,3479,wealthy,husband
1975,3479,wealthy,husband
1975,44132,wealthy,man
1976,63029,wealthy,man
1978,71298,wealthy,man
1979,159862,wealthy,man
1980,159862,wealthy,man
1985,45408,wealthy,man
1999,1090,wealthy,man
2000,44853,wealthy,man
2009,21474,wealthy,man
2015,238615,wealthy,man
2020,689723,wealthy,man
1973,84658,wealthy,uncle
1994,12778,wealthy,uncle
2013,122081,weird,dude
2001,20536,which,man
1995,8512,white,man
2001,1365,white,man
1975,143516,white,men
1975,143516,white,men
1994,43643,white,men
1996,1645,white,men
1985,36073,white-faced,man
1971,32032,wicked,uncle
2016,329981,widowed,child
1994,43535,wild,boy
1994,14425,wild,man
2001,441,wild,man
1984,4274,willful,man
2004,6947,willful,man
2001,10833,willing,men
1981,32480,women-loving,man
1975,20899,wooden,boy
1976,40829,wooden,men
2018,518452,workaholic,father
1978,39555,would-be,man
1987,39895,wounded,man
2013,238628,wounded,man
2010,61404,wrong,guy
2018,498249,wrong,guy
1998,1389,wrong,guy
1972,573,wrong,man
1972,61462,wrong,man
1985,21627,wrong,man
1984,24749,year-old,man
1995,11017,year-old,son
1970,44510,young,boy
1970,28476,young,boy
1971,74689,young,boy
1971,74689,young,boy
1973,22029,young,boy
1974,26514,young,boy
1974,34052,young,boy
1974,164990,young,boy
1974,30576,young,boy
1975,95380,young,boy
1975,28489,young,boy
1976,95380,young,boy
1979,9638,young,boy
1979,20813,young,boy
1979,82430,young,boy
1980,5689,young,boy
1980,10889,young,boy
1980,70358,young,boy
1981,20472,young,boy
1982,601,young,boy
1982,13396,young,boy
1982,22501,young,boy
1983,850,young,boy
1983,73218,young,boy
1983,28445,young,boy
1983,82820,young,boy
1984,34584,young,boy
1984,16852,young,boy
1985,103590,young,boy
1986,10515,young,boy
1986,17994,young,boy
1986,2753,young,boy
1988,2280,young,boy
1988,20196,young,boy
1988,32075,young,boy
1988,95114,young,boy
1989,15138,young,boy
1989,27607,young,boy
1989,32075,young,boy
1989,49769,young,boy
1990,11186,young,boy
1990,10166,young,boy
1990,21168,young,boy
1990,71805,young,boy
1990,77672,young,boy
1990,37403,young,boy
1991,70984,young,boy
1991,42001,young,boy
1993,858,young,boy
1993,9272,young,boy
1993,57250,young,boy
1993,79500,young,boy
1994,27793,young,boy
1995,45325,young,boy
1995,41841,young,boy
1996,19042,young,boy
1996,3587,young,boy
1997,13664,young,boy
1998,666,young,boy
1999,10368,young,boy
2000,19576,young,boy
2001,12600,young,boy
2002,29339,young,boy
2003,113,young,boy
2003,1611,young,boy
2003,9976,young,boy
2004,5255,young,boy
2004,10740,young,boy
2005,118,young,boy
2005,9335,young,boy
2005,20941,young,boy
2005,15907,young,boy
2007,1268,young,boy
2007,6589,young,boy
2007,14397,young,boy
2008,16353,young,boy
2008,13688,young,boy
2009,25132,young,boy
2010,41402,young,boy
2010,44835,young,boy
2011,64685,young,boy
2011,92321,young,boy
2011,63831,young,boy
2012,83564,young,boy
2012,116979,young,boy
2013,49521,young,boy
2014,227156,young,boy
2014,82703,young,boy
2014,239563,young,boy
2016,329981,young,boy
2017,410554,young,boy
2017,301372,young,boy
2018,425505,young,boy
2018,442064,young,boy
2020,571384,young,boy
2020,489326,young,boy
2021,423108,young,boy
2021,578701,young,boy
2021,777270,young,boy
2021,615666,young,boy
2016,356305,young,boyfriend
1972,15573,young,boy
1974,104251,young,boy
1974,187870,young,boy
1976,11512,young,boy
1983,24808,young,boy
1986,17048,young,boy
1992,51806,young,boy
1993,27224,young,boy
1994,8986,young,boy
1998,32302,young,boy
2002,13830,young,boy
2005,6795,young,boy
2005,10707,young,boy
2019,521777,young,boy
1984,92989,young,brother
1999,18212,young,brother
1972,10238,young,child
1973,121960,young,child
1982,9387,young,child
1990,48581,young,child
1991,48581,young,child
1998,32531,young,child
2009,22825,young,child
2016,325133,young,child
2018,346910,young,child
1994,18670,young,father
2006,9842,young,guy
2014,246403,young,guy
2017,427900,young,guy
2011,64720,young,husband
1971,42497,young,male
1970,35002,young,man
1970,42595,young,man
1970,115018,young,man
1970,104452,young,man
1970,104452,young,man
1970,22480,young,man
1970,152846,young,man
1970,47459,young,man
1970,122268,young,man
1970,150043,young,man
1970,185843,young,man
1971,55847,young,man
1972,54164,young,man
1972,5485,young,man
1972,31591,young,man
1972,29336,young,man
1972,44618,young,man
1972,4792,young,man
1973,45698,young,man
1973,52849,young,man
1973,220638,young,man
1973,220638,young,man
1974,55368,young,man
1974,77765,young,man
1974,234426,young,man
1975,55343,young,man
1975,63026,young,man
1975,208309,young,man
1976,93655,young,man
1977,10670,young,man
1977,81462,young,man
1977,103578,young,man
1977,127745,young,man
1978,11230,young,man
1978,49096,young,man
1978,52281,young,man
1978,49695,young,man
1978,49695,young,man
1978,71298,young,man
1978,114096,young,man
1979,583,young,man
1979,49695,young,man
1979,49695,young,man
1979,126986,young,man
1979,39863,young,man
1979,117483,young,man
1980,16395,young,man
1980,37767,young,man
1980,31278,young,man
1980,31278,young,man
1980,126986,young,man
1980,57082,young,man
1981,49934,young,man
1981,76821,young,man
1981,39918,young,man
1982,2623,young,man
1982,27813,young,man
1983,58833,young,man
1983,58833,young,man
1983,57978,young,man
1983,27232,young,man
1983,2304,young,man
1984,35574,young,man
1984,148034,young,man
1984,42084,young,man
1985,793,young,man
1985,18498,young,man
1985,13938,young,man
1985,31410,young,man
1985,147747,young,man
1986,793,young,man
1986,70966,young,man
1986,71329,young,man
1986,85654,young,man
1987,26371,young,man
1987,4043,young,man
1987,20043,young,man
1987,46767,young,man
1987,71329,young,man
1987,71881,young,man
1987,67307,young,man
1989,19236,young,man
1989,31863,young,man
1989,21799,young,man
1989,74646,young,man
1990,20481,young,man
1990,30017,young,man
1990,39195,young,man
1990,42070,young,man
1990,108521,young,man
1991,892,young,man
1991,892,young,man
1991,9079,young,man
1991,41804,young,man
1991,43654,young,man
1991,41782,young,man
1992,11259,young,man
1992,343693,young,man
1992,17736,young,man
1993,1587,young,man
1993,37233,young,man
1993,44435,young,man
1993,19657,young,man
1993,162503,young,man
1994,11777,young,man
1994,13701,young,man
1994,24767,young,man
1994,16297,young,man
1995,12665,young,man
1995,9061,young,man
1995,48781,young,man
1995,37141,young,man
1995,42845,young,man
1995,16934,young,man
1996,31146,young,man
1997,19601,young,man
1997,49478,young,man
1997,54291,young,man
1998,10674,young,man
1998,10220,young,man
1998,9410,young,man
1998,11855,young,man
1998,26618,young,man
1999,1213,young,man
2000,55,young,man
2000,711,young,man
2000,7450,young,man
2000,1698,young,man
2000,16987,young,man
2001,1791,young,man
2001,9081,young,man
2001,2057,young,man
2001,9683,young,man
2001,20857,young,man
2001,56899,young,man
2001,20309,young,man
2001,12484,young,man
2001,14782,young,man
2001,36093,young,man
2002,1430,young,man
2002,13435,young,man
2002,35265,young,man
2002,31005,young,man
2002,26955,young,man
2002,13098,young,man
2002,8439,young,man
2003,2830,young,man
2003,13573,young,man
2003,11297,young,man
2003,34196,young,man
2004,1954,young,man
2004,6947,young,man
2004,9759,young,man
2004,1280,young,man
2004,11171,young,man
2004,1944,young,man
2005,3933,young,man
2005,340,young,man
2005,14003,young,man
2005,7515,young,man
2005,6077,young,man
2006,10025,young,man
2006,1247,young,man
2006,1116,young,man
2006,5172,young,man
2006,9310,young,man
2007,2270,young,man
2007,13257,young,man
2007,13968,young,man
2008,217,young,man
2008,18533,young,man
2008,16353,young,man
2008,16353,young,man
2009,19912,young,man
2009,19556,young,man
2010,44982,young,man
2010,56014,young,man
2011,77338,young,man
2011,49530,young,man
2011,57212,young,man
2011,59965,young,man
2011,38117,young,man
2011,53319,young,man
2011,73567,young,man
2012,58244,young,man
2012,81836,young,man
2012,113082,young,man
2013,49521,young,man
2013,81005,young,man
2013,149509,young,man
2014,228326,young,man
2014,241848,young,man
2014,184352,young,man
2014,277547,young,man
2014,241855,young,man
2014,250538,young,man
2015,296098,young,man
2015,238615,young,man
2016,376867,young,man
2016,339397,young,man
2016,381356,young,man
2016,378018,young,man
2017,166426,young,man
2017,351460,young,man
2017,365942,young,man
2017,339877,young,man
2017,399366,young,man
2017,428399,young,man
2018,491584,young,man
2018,475215,young,man
2018,347866,young,man
2019,463257,young,man
2019,586940,young,man
2020,721625,young,man
2020,526007,young,man
2020,590854,young,man
2020,438396,young,man
2021,438631,young,man
2021,643532,young,man
2021,763148,young,man
2021,667257,young,man
1973,127946,young,men
1975,85927,young,men
1975,95375,young,men
1978,2813,young,men
1978,27521,young,men
1980,40072,young,men
1982,13776,young,men
1984,11296,young,men
1985,4180,young,men
1989,164020,young,men
1991,29475,young,men
1992,11287,young,men
1993,117553,young,men
1997,10234,young,men
1997,158,young,men
1997,73057,young,men
1998,10668,young,men
2000,10637,young,men
2000,4967,young,men
2000,10687,young,men
2000,22597,young,men
2001,13503,young,men
2002,11892,young,men
2006,9954,young,men
2008,8461,young,men
2011,49538,young,men
2013,156700,young,men
2014,225565,young,men
2014,200505,young,men
2014,198185,young,men
2015,277216,young,men
2016,308266,young,men
2016,296360,young,men
2018,489931,young,men
2018,499726,young,men
2021,597890,young,men
1971,40350,young,son
1976,92298,young,son
1976,65935,young,son
1977,5481,young,son
1979,12102,young,son
1979,56503,young,son
1979,123817,young,son
1980,79785,young,son
1981,28794,young,son
1982,72574,young,son
1983,47944,young,son
1985,42018,young,son
1986,42018,young,son
1987,32076,young,son
1989,118662,young,son
1990,951,young,son
1990,29460,young,son
1994,11395,young,son
1994,2778,young,son
1995,51191,young,son
1998,11702,young,son
2001,9290,young,son
2001,48941,young,son
2002,7303,young,son
2002,8869,young,son
2002,10955,young,son
2006,13205,young,son
2006,1441,young,son
2008,13090,young,son
2009,10024,young,son
2009,25196,young,son
2010,27585,young,son
2011,64690,young,son
2012,97365,young,son
2014,85350,young,son
2015,264644,young,son
2015,290637,young,son
2016,293452,young,son
2019,440472,young,son
2019,532671,young,son
2019,484437,young,son
2020,524047,young,son
2020,555974,young,son
2020,726208,young,son
2021,379686,young,son
2021,634528,young,son
2021,749274,young,son
2011,55347,young,boyfriend
1974,87884,young,brother
1981,48773,young,brother
1985,24742,young,brother
1987,2039,young,brother
1989,183,young,brother
1992,20763,young,brother
1992,20763,young,brother
1993,1587,young,brother
1995,25749,young,brother
1995,25749,young,brother
1996,755,young,brother
1996,13997,young,brother
1997,2649,young,brother
1998,46761,young,brother
2000,14295,young,brother
2001,10757,young,brother
2001,13166,young,brother
2001,36093,young,brother
2003,8046,young,brother
2003,18113,young,brother
2007,9966,young,brother
2009,15189,young,brother
2010,34803,young,brother
2010,60556,young,brother
2012,82390,young,brother
2017,382614,young,brother
2017,336000,young,brother
2019,571495,young,brother
1971,45938,young,man
1974,42454,young,man
2005,11344,young,man
2007,15019,young,man
2015,241251,young,man
1974,42451,young,son
1976,157570,young,son
2008,25050,young,son
1979,40611,young,brother
1992,60145,young,brother
1972,238,young,son
1976,323444,young,son
2000,34070,young,son
2005,32390,young,son
2010,40794,young,son
2011,59440,young,son
1991,20096,TRUE,man
2013,177945,TRUE,son
